iter	Logloss
0	0.6783981243
1	0.6646086558
2	0.6510626286
3	0.6406882043
4	0.6294987238
5	0.6184745339
6	0.6091571702
7	0.5999247607
8	0.5923769427
9	0.584947352
10	0.577269671
11	0.5710477997
12	0.5649716519
13	0.5593074336
14	0.5537942531
15	0.548509055
16	0.5441041412
17	0.5390561214
18	0.5352552915
19	0.5310801073
20	0.5260628302
21	0.5226859464
22	0.5197963402
23	0.5171284631
24	0.5143114616
25	0.5104303874
26	0.5077059733
27	0.5050423547
28	0.5023343545
29	0.5001683722
30	0.4980870273
31	0.4960493229
32	0.49431233
33	0.4923787317
34	0.4901081172
35	0.4882713145
36	0.4864183031
37	0.4847830625
38	0.4829215944
39	0.4812863648
40	0.4794953185
41	0.47755316
42	0.4762089045
43	0.4750811348
44	0.4736045629
45	0.4721129989
46	0.470450695
47	0.4690929158
48	0.4680665965
49	0.4660861353
50	0.4649550724
51	0.4636165486
52	0.462399683
53	0.4612298
54	0.4603592269
55	0.4594701568
56	0.4584027672
57	0.4574597586
58	0.4559825953
59	0.4551303373
60	0.4540812053
61	0.4531045957
62	0.452075765
63	0.4511884952
64	0.4502108631
