iter	Passed	Remaining
0	135	135679
1	243	121658
2	357	118706
3	469	116951
4	653	130077
5	813	134795
6	959	136079
7	1167	144753
8	1306	143856
9	1418	140476
10	1540	138465
11	1650	135884
12	1773	134673
13	1887	132930
14	2009	131982
15	2154	132507
16	2292	132575
17	2404	131195
18	2511	129653
19	2632	128996
20	2750	128204
21	2866	127448
22	2978	126535
23	3090	125693
24	3199	124775
25	3323	124517
26	3436	123828
27	3548	123191
28	3663	122673
29	3774	122026
30	3882	121362
31	4005	121175
32	4114	120574
33	4231	120227
34	4343	119758
35	4458	119390
36	4575	119079
37	4697	118923
38	4808	118480
39	4916	117986
40	5034	117764
41	5141	117277
42	5248	116803
43	5352	116295
44	5466	116019
45	5573	115582
46	5687	115329
47	5796	114960
48	5904	114592
49	6009	114176
50	6129	114062
51	6235	113673
52	6348	113433
53	6457	113128
54	6576	113002
55	6687	112730
56	6791	112357
57	6911	112246
58	7020	111964
59	7131	111725
60	7239	111442
61	7352	111230
62	7458	110929
63	7573	110764
64	7681	110493
65	7788	110218
66	7892	109904
67	8000	109651
68	8107	109386
69	8225	109280
70	8334	109059
71	8443	108825
72	8544	108504
73	8664	108424
74	8766	108116
75	8872	107873
76	8984	107693
77	9096	107525
78	9202	107281
79	9305	107018
80	9416	106833
81	9527	106664
82	9637	106475
83	9748	106303
84	9852	106064
85	9962	105876
86	10072	105699
87	10180	105508
88	10282	105254
89	10399	105149
90	10505	104936
91	10618	104804
92	10732	104674
93	10843	104511
94	10949	104309
95	11062	104167
96	11170	103991
97	11287	103894
98	11398	103737
99	11509	103581
100	11617	103405
101	11723	103215
102	11832	103045
103	11943	102897
104	12048	102696
105	12192	102827
106	12298	102636
107	12406	102465
108	12522	102359
109	12638	102256
110	12749	102110
111	12857	101945
112	12962	101746
113	13084	101693
114	13187	101484
115	13297	101335
116	13410	101209
117	13525	101100
118	13638	100969
119	13743	100785
120	13860	100687
121	13979	100604
122	14086	100439
123	14202	100331
124	14308	100157
125	14423	100051
126	14532	99896
127	14647	99784
128	14756	99634
129	14867	99497
130	14974	99334
131	15101	99305
132	15203	99108
133	15315	98981
134	15431	98877
135	15537	98710
136	15649	98578
137	15753	98400
138	15858	98229
139	15975	98133
140	16101	98094
141	16227	98050
142	16346	97963
143	16461	97857
144	16567	97689
145	16677	97552
146	16785	97399
147	16897	97276
148	17014	97176
149	17123	97032
150	17230	96878
151	17382	96976
152	17520	96992
153	17669	97069
154	17828	97195
155	17953	97131
156	18083	97098
157	18216	97076
158	18351	97067
159	18485	97046
160	18640	97136
161	18792	97211
162	18935	97234
163	19051	97117
164	19174	97036
165	19308	97006
166	19448	97008
167	19563	96885
168	19677	96756
169	19811	96729
170	19925	96596
171	20045	96497
172	20156	96352
173	20260	96178
174	20371	96035
175	20481	95890
176	20601	95790
177	20715	95662
178	20829	95537
179	20940	95395
180	21046	95231
181	21151	95063
182	21266	94943
183	21386	94843
184	21502	94728
185	21609	94570
186	21727	94463
187	21840	94332
188	21958	94222
189	22068	94080
190	22184	93963
191	22300	93846
192	22408	93699
193	22515	93543
194	22635	93445
195	22750	93323
196	22857	93168
197	22964	93018
198	23081	92905
199	23187	92751
200	23297	92609
201	23414	92500
202	23526	92369
203	23636	92229
204	23748	92097
205	23856	91950
206	23968	91822
207	24084	91706
208	24192	91562
209	24299	91411
210	24429	91351
211	24537	91205
212	24655	91098
213	24760	90942
214	24886	90866
215	25013	90790
216	25134	90694
217	25263	90623
218	25393	90559
219	25530	90516
220	25644	90395
221	25763	90287
222	25887	90199
223	25998	90064
224	26112	89942
225	26225	89816
226	26340	89697
227	26464	89609
228	26571	89460
229	26689	89352
230	26808	89244
231	26918	89109
232	27027	88969
233	27144	88856
234	27255	88724
235	27362	88580
236	27475	88456
237	27589	88331
238	27702	88208
239	27871	88258
240	28008	88208
241	28136	88130
242	28248	88000
243	28356	87857
244	28468	87728
245	28583	87609
246	28693	87475
247	28815	87376
248	28937	87278
249	29041	87123
250	29153	86996
251	29272	86888
252	29401	86809
253	29539	86756
254	29688	86737
255	29815	86652
256	29944	86569
257	30084	86521
258	30221	86462
259	30387	86486
260	30561	86531
261	30732	86567
262	31033	86964
263	31203	86991
264	31379	87034
265	31517	86968
266	31653	86899
267	31812	86890
268	31987	86925
269	32130	86870
270	32256	86770
271	32385	86678
272	32508	86569
273	32649	86508
274	32780	86420
275	32929	86379
276	33074	86329
277	33196	86216
278	33329	86130
279	33561	86300
280	33702	86234
281	33817	86102
282	33948	86011
283	34097	85964
284	34265	85964
285	34385	85843
286	34521	85761
287	34648	85658
288	34773	85548
289	34925	85507
290	35065	85434
291	35184	85310
292	35307	85195
293	35425	85068
294	35571	85008
295	35699	84907
296	35822	84792
297	35949	84687
298	36062	84547
299	36173	84405
300	36320	84345
301	36457	84262
302	36579	84143
303	36705	84036
304	36820	83903
305	36933	83764
306	37055	83645
307	37206	83594
308	37334	83490
309	37446	83348
310	37554	83199
311	37669	83065
312	37780	82923
313	37897	82794
314	38012	82662
315	38116	82505
316	38226	82360
317	38348	82243
318	38459	82103
319	38579	81981
320	38728	81919
321	38862	81828
322	38979	81700
323	39088	81555
324	39199	81415
325	39320	81295
326	39429	81149
327	39539	81007
328	39650	80867
329	39794	80795
330	39925	80694
331	40055	80593
332	40175	80471
333	40286	80332
334	40414	80226
335	40535	80106
336	40681	80035
337	40821	79952
338	40950	79848
339	41069	79722
340	41182	79587
341	41326	79510
342	41489	79471
343	41611	79352
344	41731	79228
345	41865	79133
346	42006	79050
347	42130	78933
348	42249	78810
349	42362	78674
350	42491	78566
351	42608	78437
352	42729	78318
353	42865	78224
354	43005	78137
355	43135	78031
356	43261	77918
357	43398	77827
358	43530	77725
359	43652	77604
360	43763	77465
361	43887	77349
362	44012	77233
363	44130	77107
364	44287	77047
365	44411	76931
366	44532	76809
367	44657	76693
368	44793	76598
369	44913	76473
370	45026	76338
371	45135	76196
372	45256	76074
373	45382	75961
374	45500	75834
375	45621	75712
376	45727	75565
377	45852	75450
378	45982	75343
379	46124	75256
380	46279	75188
381	46427	75110
382	46562	75010
383	46727	74958
384	46872	74874
385	47000	74763
386	47115	74630
387	47232	74500
388	47353	74378
389	47463	74238
390	47602	74142
391	47751	74063
392	47885	73961
393	48013	73848
394	48140	73733
395	48265	73617
396	48380	73484
397	48492	73348
398	48609	73218
399	48724	73087
400	48846	72965
401	48965	72838
402	49082	72710
403	49210	72597
404	49334	72479
405	49457	72358
406	49573	72228
407	49689	72097
408	49807	71970
409	49930	71850
410	50041	71714
411	50160	71588
412	50281	71465
413	50392	71328
414	50520	71215
415	50647	71101
416	50764	70973
417	50887	70852
