timestamp,nao,ao,pna,mjo80e,mjo70e,mjo40w,mjo20e,mjo160e,mjo140e,mjo120w,mjo120e,mjo10w,mjo100e,nino4,nino3,nino34
1982-01-01,-1.282,-3.065,-1.924,-1.01,-1.07,0.79,-0.65,0.93,0.45,1.16,-0.21,-0.02,-0.29,0.07241021,0.3586093,0.1325326
1982-01-02,-1.218,-3.123,-1.714,-1.13,-1.16,0.91,-0.66,0.99,0.44,1.28,-0.3,0.04,-0.38,0.1036338,0.4294848,0.3198848
1982-01-03,-1.136,-3.227,-1.448,-1.26,-1.24,1.04,-0.67,1.04,0.42,1.39,-0.39,0.1,-0.47,0.08260586,0.404778,0.3865816
1982-01-04,-0.7,-2.341,-1.476,-1.04,-0.93,0.9,-0.43,0.75,0.23,1.09,-0.41,0.19,-0.48,0.007581051,0.3055283,0.304645
1982-01-05,-0.632,-1.899,-1.785,-0.83,-0.62,0.77,-0.19,0.46,0.04,0.79,-0.43,0.29,-0.49,-0.03267091,0.2497382,0.1696218
1982-01-06,-1.045,-2.052,-1.77,-0.61,-0.32,0.63,0.05,0.17,-0.15,0.5,-0.45,0.38,-0.51,-0.06541868,0.2637489,0.06680753
1982-01-07,-1.505,-2.112,-1.382,-0.4,-0.01,0.5,0.29,-0.12,-0.34,0.2,-0.47,0.48,-0.52,-0.1617705,0.2585737,0.01958978
1982-01-08,-1.788,-1.893,-0.774,-0.18,0.3,0.36,0.53,-0.41,-0.53,-0.1,-0.49,0.57,-0.53,-0.3646348,0.2626998,-0.05439409
1982-01-09,-1.772,-2.02,-0.095,-0.05,0.36,0.23,0.52,-0.45,-0.51,-0.21,-0.42,0.49,-0.42,-0.6179748,0.2183423,-0.2174082
1982-01-10,-1.431,-1.798,0.224,0.09,0.43,0.1,0.51,-0.49,-0.49,-0.31,-0.35,0.41,-0.31,-0.642102,0.1954338,-0.1719825
1982-01-11,-0.874,-1.249,0.315,0.22,0.49,-0.04,0.49,-0.53,-0.48,-0.42,-0.29,0.33,-0.19,-0.4616054,0.1615812,-0.1102638
1982-01-12,-0.21,-0.006,0.23,0.36,0.56,-0.17,0.48,-0.57,-0.46,-0.52,-0.22,0.25,-0.08,-0.4095938,0.06258406,-0.1953962
1982-01-13,0.034,1.072,0.066,0.49,0.62,-0.3,0.47,-0.61,-0.44,-0.63,-0.15,0.17,0.03,-0.5165148,0.07087648,-0.1509147
1982-01-14,0.06,1.17,-0.184,0.59,0.64,-0.43,0.41,-0.6,-0.36,-0.7,-0.01,0.06,0.15,-0.5075866,0.08790788,-0.186191
1982-01-15,-0.343,0.004,-0.22,0.69,0.66,-0.56,0.36,-0.59,-0.28,-0.77,0.14,-0.05,0.28,-0.5333517,0.1198897,-0.2708042
1982-01-16,-0.373,0.169,-0.266,0.8,0.68,-0.7,0.3,-0.57,-0.19,-0.84,0.28,-0.17,0.4,-0.3452187,0.1067522,-0.2567462
1982-01-17,-0.209,0.852,-0.59,0.9,0.7,-0.83,0.25,-0.56,-0.11,-0.91,0.43,-0.28,0.53,-0.1212998,0.03876056,-0.1683372
1982-01-18,-0.235,0.607,-0.72,1.0,0.72,-0.96,0.19,-0.55,-0.03,-0.98,0.57,-0.39,0.65,-0.05099219,-0.006919503,-0.1375666
1982-01-19,-0.194,-0.542,-0.728,0.87,0.51,-0.9,0.01,-0.34,0.14,-0.79,0.64,-0.49,0.68,-0.06662215,-0.102304,0.01492861
1982-01-20,-0.165,-1.3,-0.894,0.74,0.3,-0.84,-0.18,-0.13,0.3,-0.59,0.71,-0.58,0.72,-0.07062575,-0.1542001,0.07986216
1982-01-21,-0.153,-1.048,-0.849,0.6,0.08,-0.77,-0.36,0.08,0.47,-0.4,0.77,-0.68,0.75,0.07058202,-0.1882516,0.1345959
1982-01-22,-0.377,-1.113,-0.458,0.47,-0.13,-0.71,-0.55,0.29,0.63,-0.2,0.84,-0.77,0.79,0.2345361,-0.1970593,0.1653411
1982-01-23,-0.407,-1.075,-0.137,0.34,-0.34,-0.65,-0.73,0.5,0.8,-0.01,0.91,-0.87,0.82,0.1419652,-0.09014409,0.2881477
1982-01-24,-0.28,-0.815,-0.071,0.24,-0.21,-0.47,-0.48,0.31,0.55,-0.05,0.66,-0.6,0.56,0.02379294,0.04690711,0.3190456
1982-01-25,-0.127,-0.473,-0.062,0.14,-0.08,-0.29,-0.23,0.13,0.29,-0.08,0.42,-0.33,0.29,0.006696362,0.1347305,0.1977447
1982-01-26,-0.112,-0.399,-0.181,0.05,0.06,-0.12,0.01,-0.06,0.04,-0.12,0.17,-0.05,0.03,-0.003708784,0.2363635,0.1674846
1982-01-27,0.032,-0.021,-0.106,-0.05,0.19,0.06,0.26,-0.24,-0.22,-0.15,-0.07,0.22,-0.24,0.006142423,0.2561236,0.1492042
1982-01-28,0.375,0.489,0.119,-0.15,0.32,0.24,0.51,-0.43,-0.47,-0.19,-0.32,0.49,-0.5,-0.04408351,0.2258352,0.1463276
1982-01-29,0.465,0.825,0.257,0.06,0.38,0.04,0.44,-0.44,-0.39,-0.31,-0.19,0.33,-0.29,-0.1788038,0.1134287,0.06837108
1982-01-30,0.444,0.352,0.311,0.26,0.44,-0.16,0.38,-0.44,-0.31,-0.43,-0.05,0.17,-0.08,-0.2981046,-0.0009556052,0.02296828
1982-01-31,0.583,-0.383,0.44,0.47,0.5,-0.36,0.31,-0.45,-0.23,-0.54,0.08,0.02,0.14,-0.3721557,-0.07333192,0.003856355
1982-02-01,0.729,-0.914,0.543,0.67,0.56,-0.56,0.25,-0.45,-0.15,-0.66,0.22,-0.14,0.35,-0.356391,0.004222525,0.008926481
1982-02-02,0.726,-1.692,0.615,0.88,0.62,-0.76,0.18,-0.46,-0.07,-0.78,0.35,-0.3,0.56,-0.3933849,0.05012517,-0.05930343
1982-02-03,0.262,-2.182,0.487,0.8,0.42,-0.78,-0.03,-0.25,0.14,-0.64,0.5,-0.45,0.65,-0.3754843,0.1032802,-0.04408208
1982-02-04,0.19,-1.278,0.332,0.72,0.23,-0.79,-0.24,-0.04,0.35,-0.49,0.66,-0.61,0.75,-0.296524,0.06868652,-0.07547726
1982-02-05,0.69,0.675,0.245,0.64,0.03,-0.81,-0.44,0.17,0.55,-0.35,0.81,-0.76,0.84,-0.2685468,0.06200945,-0.1063454
1982-02-06,1.088,1.906,0.158,0.56,-0.16,-0.82,-0.65,0.38,0.76,-0.2,0.97,-0.92,0.94,-0.2806775,0.03905709,-0.2094597
1982-02-07,1.1,2.354,-0.18,0.48,-0.36,-0.84,-0.86,0.59,0.97,-0.06,1.12,-1.07,1.03,-0.09803004,-0.06261536,-0.231938
1982-02-08,1.168,3.213,-0.432,0.51,-0.07,-0.71,-0.49,0.26,0.6,-0.24,0.82,-0.74,0.77,-0.0944124,-0.1244773,-0.2589825
1982-02-09,1.241,3.361,-0.439,0.53,0.22,-0.59,-0.12,-0.07,0.23,-0.41,0.52,-0.41,0.52,-0.07536334,-0.05499109,-0.2230574
1982-02-10,1.202,2.737,-0.621,0.56,0.5,-0.46,0.26,-0.41,-0.13,-0.59,0.22,-0.07,0.26,-0.0624438,-0.101729,-0.2868971
1982-02-11,1.503,2.141,-0.487,0.58,0.79,-0.34,0.63,-0.74,-0.5,-0.76,-0.08,0.26,0.01,-0.06107953,-0.1597049,-0.378917
1982-02-12,1.674,2.228,-0.14,0.61,1.08,-0.21,1.0,-1.07,-0.87,-0.94,-0.38,0.59,-0.25,-0.1350285,-0.2081057,-0.4671609
1982-02-13,1.567,2.214,0.2,0.44,0.79,-0.14,0.74,-0.78,-0.64,-0.68,-0.29,0.45,-0.19,-0.3081879,-0.1737322,-0.59762
1982-02-14,1.155,1.28,0.186,0.28,0.5,-0.07,0.48,-0.49,-0.41,-0.42,-0.2,0.3,-0.13,-0.4123054,-0.184658,-0.6587311
1982-02-15,0.907,0.385,0.214,0.11,0.22,-0.01,0.23,-0.21,-0.19,-0.17,-0.1,0.16,-0.06,-0.1824482,-0.1646037,-0.4099602
1982-02-16,0.685,0.327,0.252,-0.05,-0.07,0.06,-0.03,0.08,0.04,0.09,-0.01,0.01,-0.0,-0.1582563,-0.2292937,-0.3255982
1982-02-17,0.246,-0.221,0.243,-0.22,-0.36,0.13,-0.29,0.37,0.27,0.35,0.08,-0.13,0.06,-0.154798,-0.2670599,-0.2554826
1982-02-18,0.047,-0.243,0.207,-0.28,-0.4,0.17,-0.31,0.4,0.28,0.4,0.08,-0.12,0.02,-0.06056831,-0.1520495,-0.1532969
1982-02-19,0.169,0.773,-0.111,-0.34,-0.45,0.21,-0.33,0.43,0.3,0.44,0.08,-0.11,-0.01,-0.01262616,-0.03928489,-0.1670116
1982-02-20,0.177,1.243,-0.487,-0.41,-0.49,0.26,-0.34,0.46,0.31,0.49,0.07,-0.1,-0.05,0.08173383,-0.1323173,-0.246139
1982-02-21,0.274,1.111,-0.667,-0.47,-0.54,0.3,-0.36,0.49,0.33,0.53,0.07,-0.09,-0.08,0.1929335,-0.2099646,-0.2896195
1982-02-22,0.45,0.647,-0.616,-0.53,-0.58,0.34,-0.38,0.52,0.34,0.58,0.07,-0.08,-0.12,0.2190173,-0.2524746,-0.314318
1982-02-23,0.659,0.808,-0.836,-0.58,-0.54,0.42,-0.3,0.46,0.25,0.58,-0.04,0.02,-0.22,0.2313611,-0.3282405,-0.2777242
1982-02-24,0.531,0.614,-1.071,-0.62,-0.51,0.5,-0.21,0.4,0.15,0.59,-0.14,0.13,-0.33,0.2097533,-0.3700366,-0.3167913
1982-02-25,0.366,0.377,-1.05,-0.67,-0.47,0.57,-0.13,0.35,0.06,0.59,-0.25,0.23,-0.43,0.1653345,-0.3371832,-0.3859173
1982-02-26,0.413,0.73,-0.769,-0.71,-0.44,0.65,-0.04,0.29,-0.04,0.6,-0.35,0.34,-0.54,0.102122,-0.2520532,-0.3220314
1982-02-27,0.535,1.485,-0.762,-0.76,-0.4,0.73,0.04,0.23,-0.13,0.6,-0.46,0.44,-0.64,0.06986347,-0.2316839,-0.2999061
1982-02-28,0.769,2.217,-0.975,-0.56,-0.2,0.59,0.16,0.06,-0.23,0.39,-0.46,0.45,-0.56,-0.06117945,-0.2704593,-0.3326541
